fips,state,county,child_poverty_rate,convenience_stores,convenience_stores_per_1k,csa_farms,deep_poverty_rate,dollar_stores,dollar_stores_per_1k,farmers_markets,farmers_markets_accepting_snap,farmers_markets_per_1k,fast_food_per_1k,fast_food_restaurants,food_banks,food_hubs,food_insecurity_rate,full_service_per_1k,full_service_restaurants,general_food_sales_tax,grocery_stores,grocery_stores_per_1k,low_access_children,low_access_low_income,low_access_no_car_hh,low_access_pop,low_access_seniors,low_access_snap_hh,median_household_income,metro_nonmetro,pct_65_and_older,pct_adult_diabetes,pct_adult_obesity,pct_farmers_markets_snap,pct_free_lunch_eligible,pct_low_access,pct_low_access_children,pct_low_access_low_income,pct_low_access_no_car,pct_low_access_seniors,pct_low_access_snap,pct_reduced_lunch_eligible,pct_school_breakfast,pct_school_lunch,pct_snap_participants,pct_summer_food,pct_under_18,pct_wic_participants,persistent_poverty,population_loss,poverty_rate,snap_authorized_stores,snap_benefits_per_capita,snap_participation_rate,snap_redemptions_per_store,snap_stores_per_1k,specialized_food_stores,supercenters,supercenters_per_1k,very_low_food_security_rate,wic_authorized_stores,wic_redemptions_per_capita,wic_stores_per_1k
01001,AL,Autauga,16.1,26,0.463086665,0,6.2502163,16,0.284976393,1,0,0.017985288,0.801496148,45,0,0,11.5,0.569952786,32,4,4,0.071244098,9971.883445,7105.688803,833.3602805,18503.22551,4390.856708,1827.866267,66444,1,15.71805119,9.6,38.3,0,,33.90670013,68.23980713,13.020998,4.121261597,67.07694244,9.039445877,,12.96029472,19.16269922,15.25961434,16.80606811,24.28705042,2.235864677,0,0,10.7,42,36.28551102,80,1368610.167,0.714759767,,,,4.4,4,10.41881847,0.068072364
01003,AL,Baldwin,16.4,118,0.514638841,0,4.043401319,59,0.257319421,4,0,0.018346772,0.750151575,172,0,0,11.5,1.072891235,246,4,29,0.126479045,30633.2527,14465.9709,1655.418161,45789.04652,21827.20785,4029.806873,65658,1,21.87110331,7.9,38.3,0,39.44909638,25.12223816,73.11387634,7.936779499,2.26211834,71.4054184,5.506705284,6.346383887,12.96029472,19.16269922,15.25961434,16.80606811,21.26963718,2.235864677,0,0,10.8,215,23.93615913,80,4524052.77,0.921086431,29,9,0.039252117,4.4,27,9.310375214,0.115671322
01005,AL,Barbour,35.1,15,0.610028863,0,12.82696629,8,0.325348735,4,2,0.160765246,0.976046205,24,0,0,11.5,0.528691709,13,4,5,0.203342959,3700.172071,2864.635946,546.7308712,5634.362776,2536.90134,1647.901049,38649,0,20.23153471,11.3,38.3,50,63.98508258,20.52067947,61.51574326,10.43317127,5.567523956,64.89898682,16.7810688,2.31752797,12.96029472,19.16269922,15.25961434,16.80606811,20.17602981,2.235864677,1,0,23,41,62.90414429,80,1202117.158,1.648108721,,,,4.4,9,23.29242325,0.361779958
01007,AL,Bibb,29,10,0.451752812,0,9.076190476,3,0.135525838,1,0,0.044642858,0.316226959,7,0,0,11.5,0.316226959,7,4,4,0.180701122,4197.433368,102.1702428,311.4298723,365.140663,2261.610314,712.3391725,48454,1,16.22033822,10.2,38.3,0,52.2576761,1.593456984,80.70435333,0.445866227,3.91587925,77.82554626,8.956861496,9.060806743,12.96029472,19.16269922,15.25961434,16.80606811,21.3519939,2.235864677,0,0,20.6,18,39.44931412,80,666731.7529,0.808952391,,,,4.4,4,13.60956573,0.179767206
01009,AL,Blount,16.7,29,0.501045287,0,5.291223017,12,0.20732908,1,0,0.017289074,0.414658159,24,0,0,11.5,0.293716192,17,4,4,0.069109693,12574.58754,1440.046734,752.4503532,3902.266075,7115.250985,1803.893776,56894,1,18.62549464,9.5,38.3,0,46.62458543,6.807623863,89.14353943,2.512206078,3.487118244,84.31391144,8.359874725,7.89558147,12.96029472,19.16269922,15.25961434,16.80606811,23.22014408,2.235864677,0,0,12,48,28.65748596,80,903976.6503,0.812498927,,,,4.4,5,8.532071114,0.08463531
01011,AL,Bullock,41.7,5,0.501202881,0,10.1937828,5,0.501202881,1,0,0.098638788,0.300721735,3,0,0,11.5,,,4,,,1871.507745,3529.499239,333.7928573,7479.749987,1118.22712,700.8009624,32027,0,17.93955779,9.1,38.3,0,,68.53353119,77.01677704,32.33919144,8.91302681,76.12165833,18.71297646,,12.96029472,19.16269922,15.25961434,16.80606811,19.32026649,2.235864677,1,0,32.1,14,68.54785156,80,299166.6783,1.355538368,,,,4.4,2,,0.193648338
01013,AL,Butler,34.2,21,1.076702237,0,6.66136725,12,0.615258396,2,0,0.101626016,1.076702237,21,0,0,11.5,0.461443812,9,4,3,0.153814599,3012.907793,1449.173566,327.74627,2508.38501,2131.388831,957.9047758,39442,0,21.47918744,12.5,38.3,0,67.33652313,11.97491264,59.5907402,6.9182868,3.859925508,61.0888176,11.28141308,5.295055821,12.96029472,19.16269922,15.25961434,16.80606811,21.77313527,2.235864677,0,1,22.7,34,65.19602966,80,1093435.275,1.791264892,,,,4.4,4,24.7734642,0.21073705
01015,AL,Calhoun,25.2,78,0.687412441,0,8.329655586,38,0.334893227,2,1,0.017501334,0.916549921,104,0,0,11.5,0.599282622,68,4,21,0.185072571,16630.6544,18257.80311,1384.82946,42575.29881,10095.13606,4734.6196,48166,1,18.40159394,13.3,38.3,50,52.74082252,35.90670395,61.30890656,15.3980732,2.925840378,59.41810608,10.00321102,6.127518631,12.96029472,19.16269922,15.25961434,16.80606811,20.74183492,2.235864677,0,0,19.2,142,48.42218399,80,4777945.815,1.222430706,,5,0.044064898,4.4,18,15.97900963,0.154956013
01017,AL,Chambers,32.2,28,0.851970196,0,5.091703057,10,0.304275066,1,0,0.029748624,0.973680198,32,0,0,11.5,0.456412584,15,4,5,0.152137533,4809.18217,2772.437499,607.9468914,6745.092804,3491.118989,1224.851114,45447,0,20.61428736,11.3,38.3,0,65.33101045,19.71384621,62.43258667,8.102988243,4.363359451,61.1832962,8.791007996,5.836236934,12.96029472,19.16269922,15.25961434,16.80606811,20.07649833,2.235864677,0,1,19.7,38,53.25320816,80,1298102.993,1.097885132,,,,4.4,8,17.48078346,0.231133714
01019,AL,Cherokee,26.6,19,0.722598314,0,5.073789487,10,0.380314887,1,0,0.038414259,0.684566796,18,0,0,11.5,0.57047236,15,4,,,5155.968386,1301.698634,360.6987683,3505.996618,4294.637199,1560.57779,46365,0,23.52729166,9,38.3,0,53.38941118,13.49030972,92.63327789,5.00865221,3.394492388,92.33792877,14.686409,9.797130134,12.96029472,19.16269922,15.25961434,16.80606811,19.23030716,2.235864677,0,0,18.2,27,33.75928497,80,667739.3825,1.07702744,,,,4.4,4,13.33042431,0.159559622
