resource_id,description
ckxexc1jc0004041334pontvq,"If you have a smartphone you’re comfortable using, the easiest way to apply for SNAP is to complete the application online, then download the mobile app to submit the required documents.

Here’s the link to the online application: https://a069-access.nyc.gov/accesshra/ The mobile app is called “NYC Access HRA”.

After you complete the application questions on the website, you can connect your account to the app & use your phone camera to take pictures of docs you have to submit!

If you need to visit a SNAP/HRA office in person, you can find your local office here: https://www1.nyc.gov/site/hra/locations/snap-locations.page"
cl0cre3uv818223nzhj03pls7a,"* There are 2 ways to submit snap application
	* By online https://www.mynjhelps.gov/register
	* By person open this link to download application form .. https://www.nj.gov/humanservices/njsnap/apply/ways/"
clgwa5icq0000la0fuzw8bi9u,"* The easiest way to apply for SNAP is online at myDHR: https://mymdthink.maryland.gov/home/#/.
	* After submitting the application, you will be interviewed in-person or over the phone and you should recieve a response within 30 days. If you decide to submit your application at a local department of social services, a case manager can assist you in filling out missing information and completing an interview."
clg8bu8u50002mm0f66cu9tgx,"The easiest way to apply for SNAP is online at Georgia Gateway: https://gateway.ga.gov/access/ You will need to complete and submit the online application. You may then be asked to complete an interveiw in-person or over the phone. You should have proof of income and expenses available; however, your income and elegibility will primarily be verified through the social security number provided in the application."
ckxexc1jn01080413rbrmcrhh,"* Call Met Council’s Benefits Helpline at 212-453-9532 for assistance or to schedule an appointment in person or virtually
24th floor"
clihuxhac0dypqm0h9f3kewjr,"The services of Meals On Wheels of Tampa are available to any resident in the Tampa area who is a senior or who has difficulty leaving their homes and is challenged to prepare meals.  Many recipients live alone and are handicapped, malnourished, elderly, or otherwise unable to prepare food for themselves. People of ALL incomes and ages may be eligible for meals.  Follow this link https://mowtampa.org/meal-service/  or call (813) 238-8410."
ckxexc1jt01770413fm6ns3qo,"Pre-order Required: Now, everyone needs to order before coming in to get know if they have enough food to give

Order Deadline: You can order by 12:00PM on Wednesday and Friday to receive food

Pickup on Assigned Date: It's important to come on the day we tell you. If you don't, we'll give your order to another family who needs it.

How to Order: Call (718)-268-5057 or text 201-464-0685 with your name and phone number.

Pickup Date: When you call, we'll tell you when you can come pick up your order."
cl7hzbgzp12810gmh5ifrizsx,"Stacey's Pantry provides groceries on Saturday mornings from 9:00 AM–10:00 AM. Clients can pick up either by appointment (text 917-533-1679 to schedule) or by joining the first-come, first-served line. Clients may visit once per week. Volunteers are needed."
ckxexc1jq01290413lrhuxs8b,"* They distribute food by lottery system you need to register for lottery in first 14 days of month to participate if you will not win the lottery your name will be added in next lottery automatically.
* NMIC’s benefits team can help you with more than 40 different public benefits, including SNAP, housing issues, and more. Open hours vary depending on benefits requested, so check website for details: https://www.nmic.org/covid-19-services/.

* Call our Benefits Hotline (929) 415 – 8745 on Mondays from 10 AM – 2 PM, or email Dale Reyes at dalereyes@nmic.org with any questions.
* Mondays is the day to register for the pantry lottery"
ckxexc1jz02580413fd7wddny,"Their counselors will help you find out if you qualify for SNAP, gather required documents, and submit your application. They will also provide referrals to other programs you may need, like WIC and health insurance.

Call to get started with SNAP enrollment over the phone. You may have to leave a voicemail, but someone will call you back within 48 hours. Find the number for your borough below:
* Bronx and Manhattan: 646-584-1553
* Brooklyn: 646-819-2451 For Spanish: Jose 646-793-0841/ Rosemary 646-399-4822 (For Kings County Hospital SNAP services, call 646-771-5620)
* Queens: 646-942-2431
* Staten Island: 929-270-2181

You can also fill out their request form online, and someone will get back to you: https://www.healthsolutions.org/find-services/"
536,"""For a smoother experience, this is a grab-and-go meal site where trucks arrive sometimes earlier or later due to traffic. We recommend arriving 15 minutes before the scheduled time. If the truck is running late, please allow at least 15 minutes from the scheduled arrival time before inquiring."""
cl22bhgrx1146933lyclc0kfvl2,"Apply for SNAP benefits online or with the help of a CFBNJ team member. If you need help with a SNAP application, CFBNJ’s Community Connections team can provide direct assistance to you in-person and technical help over the phone. You can also mail your application to your local County Board of Social Services."
1201,Tickest are distributed at 9am
ckwzg4xud00983tykwdfc1drp,"Clients are advised to arrive as early as 7 AM. There is often a really long line, and individuals typically arrive early to queue.

On-site registration required"
581,"* Once you register on  site, the food pantry will add you to the waiting list to receive food.
* Needs volunteers

On-site registration required"
1388,On-site registration required
cli8h3c19022anu0hyxla8p5t,"- closed over christian holidays
- id required
- registration
- once a month
- Need to show proofof need. 

On-site registration required"
