id,created_at,attended,did_not_attend_reason,rating,text,wait_time_minutes,information_accurate
56bb3c30-faec-4ef3-a5c9-e8d35c5a2f7c,2024-11-17T15:12:13.000Z,true,,2,Mixed visit. Long line but staff were friendly once inside.,42,true
949838e4-6ffc-4e1a-8a8d-ba18a458f3c9,2024-08-30T09:26:13.000Z,true,,3,Fine experience overall. Nothing special but nothing bad either.,21,true
02ddefbd-be90-4b14-9629-790975d97b54,2025-10-05T08:59:13.000Z,true,,5,Fresh bread and vegetables today. Everything was clean and well presented.,11,true
3b3c7658-44fb-4f74-8f79-51170a7b0de4,2025-02-05T08:54:13.000Z,true,,2,,27,true
70e7f2a0-eea0-4036-a4ff-c681b54650de,2024-04-21T06:41:13.000Z,true,,3,Mixed visit. Long line but staff were friendly once inside.,67,true
2795f1d3-2027-4518-aec4-b175072bb836,2024-12-02T12:25:13.000Z,true,,3,They were low on fresh produce but had plenty of canned goods.,21,true
c0f600f4-0b67-4da1-ba68-9748e63177eb,2025-11-17T15:41:13.000Z,false,Location was closed when I arrived,1,Very limited selection today — only canned beans and rice. Barely worth the trip.,,true
ea161ce7-9d4e-48ab-9b4a-4c076e857720,2024-05-24T23:55:13.000Z,true,,3,The volunteers remembered me from last time. Such a warm community here.,10,true
c3b5bfa4-b132-4eee-952b-b2da20bd9de2,2023-08-29T11:01:13.000Z,true,,2,They were low on fresh produce but had plenty of canned goods.,31,true
550c19d0-5709-4056-90a8-ab1baebffc39,2024-03-04T10:26:13.000Z,false,"Arrived too late, they had stopped distributing",2,Waited over an hour only to be told they couldn't help me without an ID I didn't know I needed.,,false
7a1f97df-33e1-4083-b91c-0b6e9bd48556,2024-08-26T05:14:13.000Z,true,,4,They gave us enough food for the whole week. Cannot thank them enough.,18,true
04924f26-ce22-4f2d-a91e-d852fdecec92,2025-06-28T02:12:13.000Z,true,,5,The new volunteer coordinator has made a big improvement. Much smoother process.,25,true
8c16d6e5-5c65-4dce-ae25-a713e9d51ec2,2025-04-22T02:57:13.000Z,true,,3,Great experience for the third time in a row. Consistently excellent.,5,true
46e5a07c-67c3-49f6-a221-51478f5cd6b5,2024-08-02T17:47:13.000Z,true,,5,Friendly atmosphere and no excessive paperwork. Felt like a real community.,7,true
51f78b2d-9f2b-4fd5-b3df-1fec6b1afffe,2023-06-05T09:37:13.000Z,true,,5,Fresh bread and vegetables today. Everything was clean and well presented.,8,false
2e245720-b4c6-4795-a95e-b7389dd48760,2024-05-06T16:56:13.000Z,true,,4,Great experience for the third time in a row. Consistently excellent.,13,true
812c1529-12ac-4ec8-9a70-2b422c55ccbd,2025-03-31T13:45:13.000Z,true,,3,Some items were expired which was disappointing. Staff replaced them quickly.,72,true
